model,term,coefficient,odds_ratio,ci_lower,ci_upper,p_value
basic_treatment_only,Intercept,-1.9896832453744135,0.1367387312121191,0.13458648353926786,0.1389253966803052,0.0
basic_treatment_only,treat,-0.014863229763602773,0.98524668281014,0.9633292648151635,1.0076627602241872,0.19534990695040866
country_adjusted,Intercept,-2.0306923748094587,0.13124461921479863,0.12454615536011511,0.13830334644238812,0.0
country_adjusted,C(country)[T.UK],0.05031084645129447,1.0515979310607502,0.9944609906351152,1.112017684982285,0.07754789618223568
country_adjusted,C(country)[T.US],0.040525967355347886,1.0413583506737611,0.9877077319869652,1.0979231805105352,0.13318485878786035
country_adjusted,treat,-0.014814215941889234,0.9852949746988705,0.9633762930375436,1.007712348936756,0.19683113523807094
country_time_adjusted,Intercept,-2.0207523013673563,0.13255570572161052,0.12534974060367354,0.1401759192698263,0.0
country_time_adjusted,C(country)[T.UK],0.05037119838819466,1.0516613989479158,0.9945205288744551,1.1120853375332422,0.07719532562385775
country_time_adjusted,C(country)[T.US],0.040582106838239256,1.0414168136340973,0.9877626786403851,1.0979853796588404,0.13265193056690686
country_time_adjusted,C(time_bucket)[T.15-30_min],-0.0220418398607969,0.9781993064721786,0.9475256778429266,1.0098659124056732,0.17510053329579023
country_time_adjusted,C(time_bucket)[T.30-45_min],0.0047045007925981975,1.0047155843304734,0.9733682436895276,1.037072466603407,0.7711300813550619
country_time_adjusted,C(time_bucket)[T.45-60_min],-0.022671251714184333,0.9775838099544312,0.9469274285232405,1.0092326789766934,0.16312994911014078
country_time_adjusted,treat,-0.014879251412195415,0.9852308976604633,0.9633133770845862,1.0076470905475752,0.19487811591689985
country_interaction,Intercept,-1.9875220002245721,0.1370345767139173,0.13446302765565604,0.13965530557033085,0.0
country_interaction,"C(country, Treatment(reference='US'))[T.CA]",-0.01631371367801042,0.9838186342760873,0.9134988592293252,1.059551520365811,0.666354900450101
country_interaction,"C(country, Treatment(reference='US'))[T.UK]",-0.00543290604245494,0.99458182550114,0.9584811645351191,1.0320421978213383,0.7733419514115702
country_interaction,treat,-0.020132871811698844,0.9800684411854887,0.9540750928907624,1.0067699666044327,0.1421059730414111
country_interaction,"treat:C(country, Treatment(reference='US'))[T.CA]",-0.04882327554359256,0.9523494182609666,0.8567282603769787,1.0586430451855477,0.36580239195979103
country_interaction,"treat:C(country, Treatment(reference='US'))[T.UK]",0.030570249406505667,1.031042317615649,0.9784847003267523,1.0864229766283087,0.25213192661732786
